SetID,Time of Application,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,First Payment Default
436,2018-03-28T17:27:35Z,CA,2000,2000,R,12,6,Monthly,300,28-03-2018,11-04-2018,FALSE
615,2018-03-23T13:19:32Z,TX,3500,3500,R,60,60,Monthly,641.91,23-03-2018,06-04-2018,FALSE
1251,2018-02-28T12:04:56Z,CA,3000,3000,R,0,6,Monthly,117.65,28-02-2018,30-03-2018,TRUE
440,2018-03-28T15:47:59Z,CA,1500,1500,R,12,6,Monthly,117.65,28-03-2018,28-04-2018,FALSE
1692,2018-02-13T04:36:00Z,CA,2392,598,R,130,36,Weekly,300,13-02-2018,23-02-2018,FALSE
804,2018-03-17T11:17:38Z,TX,5000,2500,R,12,12,BiWeekly,385.06,19-03-2018,30-03-2018,FALSE
294,2018-04-02T16:39:53Z,CA,6000,3000,R,36,12,BiWeekly,235.3,04-04-2018,13-04-2018,TRUE
697,2018-03-20T20:44:50Z,CA,2864,1432,R,37,36,BiMonthly,117.65,21-03-2018,30-03-2018,FALSE
713,2018-03-20T13:55:20Z,CA,4000,2000,R,60,60,BiWeekly,117.65,20-03-2018,04-04-2018,TRUE
508,2018-03-27T09:54:01Z,TX,2800,1400,R,24,15,BiWeekly,641.35,27-03-2018,06-04-2018,TRUE
1275,2018-02-27T15:41:42Z,CA,10000,2500,R,12,6,Weekly,117.65,27-02-2018,07-03-2018,TRUE
1375,2018-02-23T21:00:54Z,CA,4200,4200,R,41,36,Monthly,300,24-02-2018,26-03-2018,TRUE
109,2018-04-07T08:29:17Z,CA,1000,1000,O,12,6,Monthly,117.65,07-04-2018,01-05-2018,FALSE
229,2018-04-04T09:30:46Z,CA,1900,1900,O,396,30,Monthly,300,04-04-2018,04-05-2018,FALSE
66,2018-04-08T18:54:54Z,CA,4500,2250,R,60,12,BiWeekly,235.3,08-04-2018,20-04-2018,FALSE
1728,2018-02-12T15:16:00Z,TX,3625,3625,R,60,60,Monthly,642.32,12-02-2018,01-03-2018,FALSE
376,2018-03-30T16:57:49Z,CA,3000,3000,R,60,36,Monthly,235.3,03-04-2018,30-04-2018,TRUE
1136,2018-03-05T07:13:59Z,CA,7000,3500,O,24,6,BiWeekly,117.65,06-03-2018,23-03-2018,FALSE
706,2018-03-20T15:58:40Z,TX,5000,2500,R,120,30,BiMonthly,641.36,20-03-2018,30-03-2018,TRUE
285,2018-04-02T19:16:11Z,CA,6500,3250,R,48,9,BiWeekly,235.3,04-04-2018,13-04-2018,TRUE
1148,2018-03-04T14:00:16Z,CA,3000,3000,R,0,6,Monthly,117.65,04-03-2018,16-03-2018,FALSE
956,2018-03-12T12:56:04Z,CA,3500,3500,R,84,6,Monthly,117.65,12-03-2018,02-04-2018,TRUE
68,2018-04-08T17:16:17Z,CA,4000,2000,R,12,6,BiWeekly,117.65,08-04-2018,23-04-2018,TRUE
260,2018-04-03T12:34:31Z,CA,2000,2000,R,60,36,Monthly,235.3,03-04-2018,03-05-2018,FALSE
1544,2018-02-16T03:15:34Z,CA,1800,450,R,40,36,Weekly,117.65,22-02-2018,02-03-2018,FALSE
44,2018-04-09T11:39:16Z,CA,6000,6000,R,60,60,Monthly,300,12-04-2018,30-04-2018,FALSE
351,2018-04-01T12:58:15Z,TX,4500,4500,R,24,24,Monthly,515.28,01-04-2018,01-05-2018,FALSE
1175,2018-03-02T17:41:44Z,CA,3286,1643,R,12,36,BiWeekly,300,02-03-2018,16-03-2018,FALSE
887,2018-03-14T12:09:12Z,TX,10000,5000,R,60,9,BiWeekly,256.49,14-03-2018,23-03-2018,FALSE
1401,2018-02-22T18:52:13Z,CA,2024,1012,O,225,30,BiWeekly,300,22-02-2018,02-03-2018,TRUE
1840,2018-02-06T12:26:00Z,TX,9000,4500,R,242,62,BiMonthly,385.31,06-02-2018,22-02-2018,FALSE
1069,2018-03-07T02:54:51Z,CA,5000,5000,O,108,6,Monthly,117.65,07-03-2018,03-04-2018,FALSE
1546,2018-02-15T19:17:11Z,CA,2000,1000,R,29,30,BiWeekly,235.3,15-02-2018,23-02-2018,FALSE
220,2018-04-04T13:24:59Z,CA,4600,2300,R,48,30,BiMonthly,235.3,04-04-2018,24-04-2018,TRUE
33,2018-04-09T14:03:28Z,CA,7134,3567,R,38,36,BiWeekly,300,09-04-2018,20-04-2018,FALSE
1064,2018-03-07T12:12:19Z,TX,6500,6500,R,12,9,Monthly,641.91,07-03-2018,21-03-2018,FALSE
954,2018-03-12T13:53:43Z,CA,1429,1429,R,132,36,Monthly,300,12-03-2018,03-04-2018,FALSE
579,2018-03-24T19:01:52Z,TX,3000,1500,R,12,6,BiWeekly,641.78,26-03-2018,06-04-2018,TRUE
1313,2018-02-26T18:00:15Z,CA,1084,542,R,120,15,BiWeekly,300,26-02-2018,19-03-2018,TRUE
1374,2018-02-24T04:19:38Z,CA,2800,1400,R,88,36,BiWeekly,300,24-02-2018,09-03-2018,FALSE
1235,2018-02-28T18:14:15Z,CA,1500,1500,R,172,36,Monthly,300,28-02-2018,28-03-2018,FALSE
1371,2018-02-24T10:51:50Z,CA,2100,2100,R,80,40,Monthly,235.3,24-02-2018,27-03-2018,FALSE
1459,2018-02-21T09:45:59Z,CA,1714,857,R,42,36,BiMonthly,300,21-02-2018,06-03-2018,TRUE
1977,2018-01-31T19:02:00Z,CA,2530,1265,R,28,12,BiWeekly,300,31-01-2018,09-02-2018,FALSE
303,2018-04-02T15:12:59Z,CA,2120,1060,R,27,36,BiWeekly,300,02-04-2018,20-04-2018,TRUE
1800,2018-02-08T17:18:00Z,CA,8000,4000,R,12,12,BiMonthly,235.3,08-02-2018,22-02-2018,FALSE
1311,2018-02-26T18:49:09Z,TX,12000,6000,R,60,36,BiWeekly,641.5,26-02-2018,09-03-2018,FALSE
1641,2018-02-14T01:33:00Z,CA,928,464,R,12,12,BiWeekly,294.12,14-02-2018,02-03-2018,FALSE
608,2018-03-23T15:51:39Z,CA,3500,1750,R,60,36,BiWeekly,235.3,23-03-2018,13-04-2018,FALSE
522,2018-03-26T16:10:38Z,TX,2500,1250,R,108,6,BiWeekly,384.9,26-03-2018,06-04-2018,TRUE
134,2018-04-06T11:54:05Z,CA,1900,950,R,26,3,BiWeekly,235.3,06-04-2018,20-04-2018,FALSE
243,2018-04-03T19:30:42Z,CA,1037,1037,R,38,15,Monthly,300,06-04-2018,20-04-2018,FALSE
1858,2018-02-05T20:13:00Z,CA,1958,979,R,39,36,BiWeekly,300,06-02-2018,16-02-2018,FALSE
512,2018-03-26T20:41:51Z,CA,1760,880,R,252,3,BiMonthly,117.65,27-03-2018,13-04-2018,FALSE
751,2018-03-19T14:41:13Z,CA,2000,2000,R,12,6,Monthly,117.65,19-03-2018,02-04-2018,TRUE
1673,2018-02-13T13:42:00Z,CA,940,470,R,27,30,BiMonthly,294.12,13-02-2018,22-02-2018,FALSE
930,2018-03-13T08:05:43Z,TX,1440,720,R,13,6,BiMonthly,417.69,28-03-2018,16-04-2018,TRUE
1197,2018-03-01T18:16:45Z,CA,1892,946,R,36,15,BiWeekly,300,01-03-2018,14-03-2018,TRUE
1340,2018-02-26T12:44:03Z,CA,4800,1200,R,39,30,Weekly,300,26-02-2018,09-03-2018,FALSE
147,2018-04-05T23:46:50Z,CA,2600,1300,R,287,30,BiWeekly,300,06-04-2018,19-04-2018,FALSE
1473,2018-02-20T16:23:14Z,CA,1000,1000,R,12,6,Monthly,117.65,21-02-2018,20-03-2018,FALSE
971,2018-03-11T10:50:48Z,CA,3334,1667,R,121,36,BiWeekly,300,11-03-2018,23-03-2018,FALSE
1755,2018-02-12T10:21:00Z,CA,3000,3000,R,12,12,Monthly,235.3,12-02-2018,28-02-2018,FALSE
1702,2018-02-12T18:13:00Z,CA,3625,3625,R,60,60,Monthly,117.65,12-02-2018,02-03-2018,FALSE
396,2018-03-29T18:07:37Z,TX,2000,2000,R,12,12,Monthly,128.54,29-03-2018,18-04-2018,FALSE
1461,2018-02-21T08:43:07Z,TX,30000,15000,R,36,6,BiMonthly,640.95,21-02-2018,28-02-2018,FALSE
1020,2018-03-08T17:49:32Z,TX,13000,6500,R,36,30,BiWeekly,641.09,09-03-2018,16-03-2018,FALSE
302,2018-04-02T15:14:36Z,TX,1500,750,R,12,6,BiWeekly,641.5,02-04-2018,13-04-2018,TRUE
1430,2018-02-22T10:10:46Z,TX,2500,2500,R,25,61,Monthly,644.24,22-02-2018,25-03-2018,FALSE
1720,2018-02-12T15:46:00Z,CA,10000,5000,R,108,6,BiWeekly,117.65,12-02-2018,27-02-2018,FALSE
1153,2018-03-03T19:27:15Z,CA,2510,1255,R,12,36,BiWeekly,235.3,08-03-2018,16-03-2018,TRUE
1983,2018-01-31T17:57:00Z,CA,1200,600,R,97,30,BiWeekly,300,31-01-2018,20-02-2018,FALSE
490,2018-03-27T14:16:01Z,TX,6500,3250,R,12,6,BiWeekly,642.32,02-04-2018,13-04-2018,TRUE
705,2018-03-20T16:21:12Z,CA,5000,5000,R,72,6,Monthly,117.65,20-03-2018,30-03-2018,FALSE
247,2018-04-03T17:45:14Z,CA,2662,1331,R,330,36,BiWeekly,300,03-04-2018,20-04-2018,FALSE
550,2018-03-26T10:26:46Z,CA,5000,2500,R,13,36,BiMonthly,300,26-03-2018,06-04-2018,FALSE
412,2018-03-29T12:53:22Z,CA,1000,1000,R,12,6,Monthly,117.65,04-04-2018,02-05-2018,FALSE
1071,2018-03-06T19:14:45Z,CA,6066,3033,R,135,30,BiWeekly,235.3,06-03-2018,22-03-2018,TRUE
90,2018-04-07T17:07:50Z,CA,3624,1812,R,60,60,BiWeekly,235.3,07-04-2018,26-04-2018,FALSE
520,2018-03-26T16:44:05Z,CA,3500,1750,R,12,36,Monthly,235.3,26-03-2018,06-04-2018,TRUE
975,2018-03-10T17:25:55Z,CA,1500,1500,O,60,6,Monthly,117.65,10-03-2018,04-04-2018,FALSE
1536,2018-02-16T17:57:08Z,CA,3900,1950,R,108,36,BiWeekly,300,16-02-2018,09-03-2018,FALSE
1904,2018-02-05T03:08:00Z,CA,8000,2000,O,30,30,Weekly,300,05-02-2018,16-02-2018,FALSE
